APP Features 1,Review 1,App Features 2,Review 2,Fiaz,Naveen
shutting down,I did love this app but now since the last two updates it keeps shutting down whenever I open up another app.,shutting it down,"Every once in a while, I have issues getting this to load on my kindle; shutting it down and restarting does not fix the problem.",1,1
sign,It is a separate download but once its downloaded you can click the link let you sign or draw onto your notes.,sign in,Online if your not a member you can just pay for ur itemAnd then who ever ships to u like your a member the app doesn't give you a choice it makes u sign inSo I was going to purchase something off my kindle but instead had to go find it on eBay on the computer because I wasn't a member,0,1
skip,"But then, you end up listening soley to 'Suggested Songs' and won't let you skip more than a couple, so you're stuck listening to Bubblegum pop instead of the Classical music you wanted to listen to.",skip to a certain part of the songs,You can't skip to a certain part of the songs and you have to change songs manually.,0,1
song,It was all right but after like 30 days asked me to buy premium pack after every song ??,songs,One of the songs by artist MariKKKopa was clearly hateful angry racist ranting.;Still needs updating with.more songs/artists bit other than that it's great!,1,1
start screen,You may consider upgrading if archiving large quantities of PDFs and Pictures is your goal.On the Kindle Fire this apps start screen is a little redundant.,start watching,It's nice to be able to start watching on my Kindle something I stopped watching on my TV.,0,0
storing interesting quotes,"I use this app pretty much everyday for storing interesting quotes, or jotting down ideas.",store my thoughts,I can easily store and organize my thoughts in ways I never imagined.,1,1
streaming free shows,"I haven't really used this yet, I have been just streaming free shows and movies from my kindle fire.",streaming plan,i am constantly frustrated by the lack of material available on the streaming plan... ESPECIALLY when it says that the disc is availablce!,0,0
sync,"This app is great, compatible with so many programs, great sharing options and the sync has never failed me between my PC, GS3, Kindle Fire and Notebook!;I love this app including the PC version and I especially love the easy sync.;sync feature really convenient.;use it for school assignments on the go and sync and save often.",sync issues with audio,sync issues with audio and severe video lag.,0,0
synch,"What's more, its cloud interface allows seamless synch.",synching,Good enough synching which is why I needed it in the first place.,1,1
watch whatever netflix offers,"If you have a Netflix account, you've gotta get this app, It is free, and you can watch whatever Netflix offers wherever you happen to be.",watch what they want,"My kids have all but given up on watching television, as they can watch what they want when they want on Netflix.",0,1
watching,"I love that I can stream movies and certain tv shows when I feel like watching them.;But Netflix currently has an audio sync problem that makes watching anything extremely difficult.;If one of my children aren't watching something on their Kindle Fires with Netflix, then my husband or I are.",watching a movie,Watching a movie is blurry for a while and clears up most of the time.,0,0
watching my show,"I sat down today to continue watching my show when I opened the Netflix app, or I should say that I tried to open the app, but a connection error popped up.",watching old tv shows,"I spend a lot of time watching movies or old tv shows, so any type of movie/tv app rocks for me.",0,1
webpages,"Evernote has exceptional file and information handling capabilities and allows you to capture, store and share not just notes but photos, webpages, freehand drawings and graphics, and pretty much anything you want.",websites,"I just use this for everything: grocery lists, recipes, websites, schedules, story writing, class notes, ect.",0,1
hook up with family,Let me hook up with family and friends.,hook up with friends,Let me hook up with family and friends.,0,0
idea pad for screenplays,I like that this can act as my idea pad for songs and screenplays.,idea pad for songs,I like that this can act as my idea pad for songs and screenplays.,0,
listen whatever music i want,Love the fact I can listen to whThis app really awesome i can listen whatever music i want!atever I want ANY time.....Update.,listen to whatever i want,Love the fact I can listen to whatever I want ANY time.....Update.,0,1
load as blue text,After the first 10 or so posts the rest just load as blue text without pictures and it doesn't change after refresh.,load it up will all sorts of personal information,"I found the app to be too invasive in that it wants you to load it up will all sorts of personal information on all of your devices that it will then share with, seemingly, anyone who wants it.",0,0
messaging,Missing functionality in messaging &amp; events.;Great Messaging and Great Images Sharing,messenger,I think messenger is included for quasi private emails.,0,0
naviagte,it is easy to naviagte and it feels like you are online at home,naviagte,"So much easier to navigate than Amazon.;User friendly app that loads quickly and well and is easy to navigate and find what you need.;The app is a lot friendlier than the site, and easy to navigate and keep track of my bids.;Great way to navigate eBay on my Kindle Fire HD.;Easy to navigate and loads quickly.;It's very easy to use and easy to navigate.;This app is easy to navigate and a joy to use!!",1,1
news feed,"This doesn't happen on my news feed but does on groups and pages.;The full news feed and peoples time lines will not load all the way.;Cannot see entire photo album from news feed.;as others have said, it only loads the first few posts in the news feed.;I can only access the latest 6 news feed entries at any one time.",news feed stories,"However, this app still retains a lot of the features that I use most often; for example, event info, news feed stories, photo album viewing, videos, etc.",0,1
note takers,I recommend this for note takers takers everywhere!!,note taking,It is great for note taking or outlining a paper.;a wonderful application for note taking and the layout even better;I started working with Evernote last year when looking for a note taking program to organize my class notes.;I use Evernote for all my note taking needs and general memory practice.,0,1
old shows,"AND EVEN OLD SHOWS THAT I LOVED YEARS AGO, LIKE QUINCY!",older movies,To many older movies all the time.,0,0
opened,"I sat down today to continue watching my show when I opened the Netflix app, or I should say that I tried to open the app, but a connection error popped up.",opens,Opens on silk just fine.;I have an HTC One M8 and for some reason this app opens and then closes without out any option for me to do anything.,1,1
organize scanned note,"I needed something that could at least reasonably organize scanned note from classes like Calculus and Gen Chem, where notes cant be taken on the computer reasonably.",organize them in notebooks,"i can access my notes from my other computers, organize them in notebooks and tags and add web content and other attachments that make this app an excellent addition to any computer, tablet, or phone.",0,0
payment,"Then I ran into a problem when I tried to buy something, my payment got hung up, could not make my purchase.",payments,"It's easy to navigate through the different pages or selling, sold, payments, et cetera.",1,1
photo editor,A powerful photo editor with many wonderfull effects;Best photo editor i have seen,photos editer,This app is very good for photos editer,1,1
post photos,on my kindle fire this is the only way I have to post photos on facebook now since facebooks last stupid change to their uploading.,post some photos,I post some photos last night and when i browse it now i cant see it.,1,1
profile management,"I llike the new profile management, but I it needs to be expanded to provide better parental controls.",profile page,There is this annoying bug where I can't reach some half of my tweets on my profile page.,0,0
protect posting,The site does not have enough privacy protection -- I do not want the entire world to know (my personal information or what I share with my friends) -- only my friends ---- plus I do not like the options that protect the sharing and posting functions -- options need to have conditions such as only with my friends or open to all.,protect the sharing,The site does not have enough privacy protection -- I do not want the entire world to know (my personal information or what I share with my friends) -- only my friends ---- plus I do not like the options that protect the sharing and posting functions -- options need to have conditions such as only with my friends or open to all.,0,0
reinstalled,"I have been a subscriber to the premium service for over a year now and had the free service for a year prior to that I am getting very frustrated, I have uninstalled and reinstalled several times the problem is getting worse!;I have deleted the a pop and reinstalled it several times.",reinstalling,When I open the app it keeps reinstalling itself over and over again please fix it today it's going to make the masses hate you if you dont;And I uninstalled it but it keeps reinstalling itself.;The app has crashed and after reinstalling it is not allowing me to register againg.;its a really cool app most of the time but I hats when it wont load so I uninstalles it with the plans of reinstalling it to see if it could get off the title page but now I cant reinstall it for whatever reason and it makes me really mad :l so then I try to search it on the appstore since it wont let me reinstall it on the homepage that dosen't work either ANDNOWIWANTTOSCREAMIHATETHISIHATETHISTHATETHISBUTIREALLWISHITWOUKDWORK,1,1
save recipes,I use it in tandem with Pulse to save recipes.,save online,Anything you need to save online and/or add notes to comes together perfectly in this app.,0,0
share,"I found the app to be too invasive in that it wants you to load it up will all sorts of personal information on all of your devices that it will then share with, seemingly, anyone who wants it.;It's nice to share and update.;i have several and can share with the wife instantly.;Evernote has exceptional file and information handling capabilities and allows you to capture, store and share not just notes but photos, webpages, freehand drawings and graphics, and pretty much anything you want.;I Highly recommend this app for anyone who needs to list, note, share or do just about anything else it offers!;I've used Evernote for quite awhile to take notes on my Android tablet and be able to share and edit them on any PC with a web browser.",share with my friends,The site does not have enough privacy protection -- I do not want the entire world to know (my personal information or what I share with my friends) -- only my friends ---- plus I do not like the options that protect the sharing and posting functions -- options need to have conditions such as only with my friends or open to all.,0,1
stay in touch,It's not exactly the same as playing on your home computer but you are able to stay in touch.,stay in touch with,Facebook helps you keep in touch with friends that otherwise would be literally impossible to stay in touch with.,0,0
synchronizing across platforms,"I like synchronizing across platforms, especially.",synchs across all my devices,I love the fact that it synchs across all my devices automatically.,0,0
time lines,The full news feed and peoples time lines will not load all the way.,timeline,Timeline keeps jumping to the top and hours of tweets get lost.,1,1
type,"At some point, you will type something that contains a friend or liked interest and you will not be able to type what you intended to.",type it in a bar,"On Netflix, there is a list of what I've watched recently plus I can just type it in a bar and it comes up if they have it.",0,0
unlike someone,They forgot to let you unlike someone so please fix.,likes,"Is this true that the updated version of whatsapp will provide us video calling n likes & comments features???;I do wish there was a better(any) alert system like on your iPhone for when you get new alerts(comments, likes, messages).",0,0
update the latest version,I can't update the latest version what the hell?!,upgrade,"They embedded a volume bar into the app which is a nice upgrade.;the lack of availability on streaming doesn't make me want to upgrade, it just pisses me off.",0,0
video stream,"Video stream was very good and at my home DSL wireless,as good as a Dvd player.the bottom tool bar get minimized and it is not annoying at all.Overall a good app for netflix movies.",videos load,The videos load very fast and look good!,1,1
view my own timeline,even can't view my own timeline,view your timeline,The Facebook app most recent update forces you to view your timeline in Top Stories format.;You no longer have the option to view your timeline in Most Recent order.,1,1
watching my friends,Love watching my family and friends out of state,watching my show,"I sat down today to continue watching my show when I opened the Netflix app, or I should say that I tried to open the app, but a connection error popped up.",0,0
get past login,"I have used this app for most of the year, but as of yesterday I have not been able to get past login blue screen.",log in,"awesome app but first you have to log out and in but still awesome app you should get it it is great;The app worked generally as expected the first launch.But today it required that I log in again (why I was logged out is unknown) then crashes after a login timeout.;When I'm trying to log in with facebook a message appears with: I tried to log in from another county ?? please, give me support;The app won't let me log in.;I love it jus like a pc very easy to log in and out enjoy friends and meet new ones along with family and classmates.would reccomend to everyone;Log in easy, search easy.",1,1
look at pictures,"Won't load people's pages, freezes when I try to watch a video, I have to force close the app when I look at pictures, and news feed doesn't lead.",view pictures,I can also view pictures of family and friends.,1,1
found many friends,i picked 5 stars because facebook is the best.i have found many friends and relatives i havent seen in years.how can you beat that.i am hook on facebook.should have been on it sooner.,found relatives,i picked 5 stars because facebook is the best.i have found many friends and relatives i havent seen in years.how can you beat that.i am hook on facebook.should have been on it sooner.,0,0
listen to music,Have to restart my phone to listen to music again;The app is constantly telling me I am offline when I have Internet to be able to listen to music.;So cool have to listen to music;All you just do is listen to music.;When I sleep I live to listen to music and it would be better if a timer was added.;The app tells me it is offline when I try to listen to music on my network data connection.,listen to my 80's music,I was able to find all the old albums I used to have and listen to my 80's music again.,1,1
listen to whatever i want,Love the fact I can listen to whatever I want ANY time.....Update.,listen whatever music i want,This app really awesome i can listen whatever music i want!,0,1
have access,I was looking for and quick and easy way to write on my kindle and have access to it everywhere.,have access to my business,I like being on the run and still have access to my business.,0,0
contact won't show up,But then the contact won't show up in Whatsapp unless u add +91.,contact with my family,This application is good for adult and teens it was download by my nice but my kids don't have a password but is good for mammy I got my Facebook and its great to be in contact with my family,0,0
choose my evening movies,I can choose my evening movies while away from my TV.,choose shows from the menu,You can choose shows from the menu and netflix tries to predict what shows you will like based on previous ratings.,0,0
take photo,Able to take r add to photo love it!,take pictures,"With add-ons like Skitch, I can take pictures of things that inspire my art and make notations right in the image, then Evernote once again makes sure all my devices have a copy.",1,1
type up my homework,I use this when I don't have access to my computer to type up my homework.,type something,"At some point, you will type something that contains a friend or liked interest and you will not be able to type what you intended to.",0,1
ui,"The easy to use UI and cross platform syncing and integration is what puts this app above the rest.;Good but previous versions UI was better ...;The slimmed down UI makes it very easy to bid, buy and get notified!",user interface,This app fulfills every promise it makes and has a convenient user interface that is similar to the actual Netflix website.;its easy to use and has a good user interface.,1,1
takes you to a web page,"When something is posted that has a link and you click on it, it takes you to a Web page, but there's no way to get back to Facebook without hitting home and going back to the app.",webpages,"Evernote has exceptional file and information handling capabilities and allows you to capture, store and share not just notes but photos, webpages, freehand drawings and graphics, and pretty much anything you want.",0,0
customer ratings,What the best part is the customer ratings that a video store never was able to provide as well as the Netflix option to rate movies and then have recommended films and shows for the future entertainment.,rate movies,What the best part is the customer ratings that a video store never was able to provide as well as the Netflix option to rate movies and then have recommended films and shows for the future entertainment.,0,0
premium user,The interface has been well redesigned to make working with it more intuitive albeit a little bit chunkier.As a premium user I take advantage of the extra space in very creative ways.,premium acc,"With Premium acc is good, but if you don't have Premium, app is very horrible.",0,1
pay on the spot,"Gets the simple jobs done, able to select and pay on the spot pretty happy with this app what else can i say?",pay for ur item,Online if your not a member you can just pay for ur itemAnd then who ever ships to u like your a member the app doesn't give you a choice it makes u sign inSo I was going to purchase something off my kindle but instead had to go find it on eBay on the computer because I wasn't a member,0,0
modify your notes,The premium edition allows your friends to access and modify your notes and so offers group collaboration capabilities.Another area Evernote excels in is the sheer number and diversity of its companion apps.,import notes,"Works amazingly, along with Skitch, but I wish there was a way to import notes into a type of presentation app.",0,0
timer,This app is great In all but please add a timer or sleep timer.;When I sleep I live to listen to music and it would be better if a timer was added.,sleep timer,This app is great In all but please add a timer or sleep timer.,0,1
tweet,Love twitter and the app is amazing can check it whenever I am and also tweet on the go :-D;The app is fine as long as I don't want to tweet anything.;I uninstall it and install it many times but i can't tweet or re-tweet,start a tweet,Also the area to start a tweet is small so sometimes I accidentally press on the tweet in front of it and it is annoying.,0,1
biographies,"One can choose from documentaries, TV shows both old and current, movies and biographies.",documentaries,"One can choose from documentaries, TV shows both old and current, movies and biographies.",0,1
smokey face icon,the app is responsive but one problem.when sending a message to someone the plus nd smokey face Icon for sending images is their but when I press it no options for pics or stickers to send comes up.not a major problem to me although to some people probably yes.fixxxxx asap,stickers,plz add stickers also like hike.;You have to pay for stickers really;Please Improve Stickers,0,0
plus icon,the app is responsive but one problem.when sending a message to someone the plus nd smokey face Icon for sending images is their but when I press it no options for pics or stickers to send comes up.not a major problem to me although to some people probably yes.fixxxxx asap,smokey face icon,the app is responsive but one problem.when sending a message to someone the plus nd smokey face Icon for sending images is their but when I press it no options for pics or stickers to send comes up.not a major problem to me although to some people probably yes.fixxxxx asap,0,0
older movies,To many older movies all the time.,old movies,Same old movies.,1,1
goes offline,"If I stop the app completely and login again it works until I stop using the app, then it just goes offline again.",offline mode,I am fully connected to wifi and offline mode is off.,0,0
voice messaging,Voice messaging giving problems for some strange reason when you access voice message screen.,voice notes,"I would recommend installing Adobe ReaderAdobe Readerwhich perfectly displays PDFs on the kindle fire.For whatever reason, on the Kindle Fire voice notes will not play.",0,1
facebook games,Facebook games do not work in this version of Facebook; you would need an actual computer for that.,play my facebook games,"I like having access to Facebook, but I'm so disappointed that I can't play my Facebook games on my Kindle.",0,1
running tab,I am not sure how to get out of the original screen to have the notes listed in another place from the running tab on the main screen.R Elliott,discovery tabs,"The home,discovery and activity tabs are not to be seen after update on app.what's wrong??",0,0
